STUDYID,DOMAIN,TSSEQ,TSPARMCD,TSPARM,TSVAL
CDISC01,TS,1,ADDON,Added on to Existing Treatments,N
CDISC01,TS,1,AGEMAX,Planned Maximum Age of Subjects,85
CDISC01,TS,1,AGEMIN,Planned Minimum Age of Subjects,18
CDISC01,TS,1,AGESPAN,Age Span,ADULT (18-65)
CDISC01,TS,2,AGESPAN,Age Span,ELDERLY (> 65)
CDISC01,TS,1,AGEU,Age Unit,YEARS
CDISC01,TS,1,DOSE,Dose per Administration,10
CDISC01,TS,2,DOSE,Dose per Administration,20
CDISC01,TS,3,DOSE,Dose per Administration,30
CDISC01,TS,4,DOSE,Dose per Administration,40
CDISC01,TS,5,DOSE,Dose per Administration,60
CDISC01,TS,1,DOSFRQ,Dosing Frequency,QD
CDISC01,TS,1,DOSU,Dose Units,mg
CDISC01,TS,1,LENGTH,Trial Length,P36W
CDISC01,TS,1,OBJPRIM,Trial Primary Objective,EFFICACY AND SAFETY COMPARING 2 DOSES
CDISC01,TS,1,OBJSEC,Trial Secondary Objective,SECONDARY OBJECTIVE CONCERNING RESPONSE
CDISC01,TS,1,PLANSUB,Planned Number of Subjects,80
CDISC01,TS,1,RANDOM,Trial is Randomized,Y
CDISC01,TS,1,ROUTE,Route of Administration,ORAL
CDISC01,TS,1,SEXPOP,Sex of Participants,BOTH
CDISC01,TS,1,SPONSOR,Clinical Study Sponsor,CDISC METADATA TEAM
CDISC01,TS,1,TBLIND,Trial Blinding Schema,DOUBLE BLIND
CDISC01,TS,1,TCNTRL,Control Type,PLACEBO
CDISC01,TS,1,TINDTP,Trial Indication Type,TREATMENT
CDISC01,TS,1,TITLE,Trial Title,SAMPLE STUDY DEVELOPED TO DEMONSTRATE A SAMPLE SUBMISSION
CDISC01,TS,1,TPHASE,Trial Phase Classification,Phase III Trial
CDISC01,TS,1,TRT,Investigational Therapy or Treatment,TEST PRODUCT XXX
CDISC01,TS,1,TTYPE,Trial Type,EFFICACY
CDISC01,TS,2,TTYPE,Trial Type,SAFETY
